,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT,Lat_from,Lon_from,Lat_to,Lon_to,network_node_id_ori,network_node_id_dest,driving_dist,driving_time,Walk_to_start_time,Walk_from_end_time,In_vehicle_time
820,23,37.0,1.0,1.0,3,35095.87901502491,625511.4918608051,4368866.88686714,619242.1891728982,4401638.805260067,Palermo,Paradise,39.46023334957177,-121.54106951952302,39.75632614278436,-121.6080227501103,86397277.0,86430226.0,38101.568,26.576666666666675,23.071495731335066,2.06827581885982,
821,23,38.0,1.0,1.0,2,33677.37710966398,624976.5267799272,4367772.158566911,617794.73581296,4400664.137811868,Palermo,Paradise,39.450450146123856,-121.54749099394387,39.7477481211791,-121.62508961428286,86582733.0,86450951.0,39262.15300000002,28.048333333333346,20.22925839375503,6.028888372854717,
822,23,40.0,1.0,1.0,2,31159.521208408118,625615.1794990685,4368782.628897678,620747.7196929979,4399557.8740091445,Palermo,Paradise,39.45945925394474,-121.5398804946862,39.737370157165714,-121.59083483961787,86397277.0,86597806.0,40772.10700000002,29.863333333333347,22.371141847386735,26.27698965371036,
823,23,41.0,1.0,1.0,1,39978.11461531493,622061.9577848383,4365996.792688934,621787.7578466949,4405973.966958624,Palermo,Paradise,39.434875890886794,-121.58167948273044,39.79501443121643,-121.57751173583601,86486891.0,86610406.0,44465.609999999964,32.09999999999998,5.013979316085052,8.619790965940894,
824,23,42.0,1.0,1.0,2,38290.52783033106,624950.6452339385,4365974.608410262,621908.9445791249,4404143.985606751,Palermo,Paradise,39.43426198250304,-121.54812799995626,39.77851379620342,-121.57643649459052,86450297.0,86515357.0,45186.30899999997,33.55833333333332,3.7026329361655583,13.040721448367995,
825,23,46.0,1.5,1.5,3,37062.86923560019,627424.1165138681,4364284.571142484,620470.971704467,4400687.599365939,Palermo,Paradise,39.41867642039751,-121.51971842908797,39.7475852975479,-121.59385681149884,86582431.0,86551599.0,46596.87800000001,35.86833333333336,39.28375032529139,15.4685767248458,
826,23,47.0,1.0,1.0,9,35907.848912997055,622607.0236139572,4365828.731372381,622526.2545611818,4401736.489446629,Palermo,Paradise,39.43328462122981,-121.57537866419742,39.75674000091848,-121.5696789999746,86486891.0,86599235.0,39958.446999999964,27.294999999999995,1.8448084955994644,33.65681166404705,
827,23,48.0,1.0,1.0,1,38968.20986296301,624506.3481848622,4366094.227645133,619679.5226929763,4404762.342877127,Palermo,Paradise,39.43540380578707,-121.55326670162933,39.784400000922915,-121.6023499999755,86479020.0,86476442.0,44649.82299999999,33.131666666666675,1.8687243377767369,9.105354806995573,
828,23,49.0,1.0,1.3333333333333333,4,38391.30629762285,625029.4421682991,4366603.448344395,620312.0075811557,4404703.833253265,Palermo,Paradise,39.43991500090725,-121.54709499995363,39.78378379894588,-121.59497647546273,86450228.0,86479365.0,44293.366999999984,33.32833333333335,7.346374519924336,7.4790605003903545,
829,23,50.0,1.0,1.2,6,37546.30884259687,625029.4421682991,4366603.448344395,620326.0504981827,4403853.997528281,Palermo,Paradise,39.43991500090725,-121.54709499995363,39.776126977621395,-121.5949682339832,86450228.0,86392404.0,43085.02499999999,31.705000000000013,7.346374519924336,3.751681957905852,
