,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT
604,17,23.0,1.0,1.0,1,55454.831894332274,615751.3180017803,4418065.732044896,620022.1404836287,4362775.602222683,Forest Ranch,Palermo
605,17,24.0,1.5,1.5,3,60978.7779819352,615851.977647212,4425841.561472659,637890.6292718756,4368984.642819457,Forest Ranch,Rackerby
606,17,29.0,1.0,1.0,2,36734.33501531108,614475.5518012543,4411868.066918141,619867.4557007996,4375531.9560209215,Forest Ranch,Thermalito
607,17,32.0,1.0,1.3333333333333333,4,14419.568474174524,612913.0992915313,4414760.553074943,619751.8573041337,4402065.85560606,Forest Ranch,Paradise
608,17,36.0,1.0,1.0,2,14829.266104733673,613831.8513590493,4416748.719714252,617477.2605117849,4402446.856732395,Forest Ranch,Paradise
609,17,37.0,1.0,1.5555555555555556,14,10646.390252159288,614475.5518012543,4411868.066918141,617974.324458489,4401813.007729143,Forest Ranch,Paradise
610,17,38.0,1.0,1.0,1,17208.502641064984,614528.2184638962,4417496.153159622,618747.6239405443,4400812.952610232,Forest Ranch,Paradise
611,17,43.0,1.0,1.0,1,12212.691114904042,614794.0339629368,4414287.548820055,616226.0260112835,4402159.101968066,Forest Ranch,Paradise
612,17,49.0,1.0,1.0,1,13526.728489195284,618376.7852376711,4419252.489276164,620973.2918307999,4405977.304263056,Forest Ranch,Paradise
613,17,52.0,1.0,1.0,1,10294.482040906649,613245.1976317727,4410392.859154564,620897.9449446998,4403507.235068467,Forest Ranch,Paradise
614,17,53.0,1.0,1.0,1,12222.372163959617,611504.8752519172,4411298.3355493685,621365.7579757655,4404076.883256315,Forest Ranch,Paradise
615,17,57.0,1.0,1.0,1,19989.613865943636,616374.2806065363,4417292.088167781,616606.2687673535,4397303.820508908,Forest Ranch,Paradise
616,17,60.0,1.0,1.4615384615384615,19,7846.843818926521,613031.1184842561,4409415.356978781,619841.9587663714,4413312.203469232,Forest Ranch,Magalia
617,17,61.0,1.0,1.0,1,10181.01462719535,615884.009849648,4420531.60697732,619907.905875133,4411179.5312924655,Forest Ranch,Magalia
618,17,64.0,1.0,1.5,15,6808.131411825198,613031.1184842561,4409415.356978781,619827.1857863206,4409010.236568914,Forest Ranch,Magalia
619,17,67.0,1.0,1.3333333333333333,12,6998.929900283784,613031.1184842561,4409415.356978781,619035.3113931875,4413011.83960232,Forest Ranch,Magalia
620,17,68.0,1.0,1.0,2,7963.945059019423,612950.2934176952,4411526.588376839,619931.1257480284,4407881.420738427,Forest Ranch,Magalia
